business_id,business_name,business_address,business_city,business_state,business_postal_code,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
3048,Crustacean,1475 Polk St,San Francisco,CA,94109,,3048_20161018,2016-10-18T00:00:00,76,Routine - Unscheduled,3048_20161018_103108,Credit Card Theft,High Risk
3309,ALBORZ,1245 VAN NESS Ave,San Francisco,CA,94109,14155444321,3309_20161101,2016-11-01T00:00:00,67,Routine - Unscheduled,3309_20161101_103108,Credit Card Theft,High Risk
79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,79782_20161107,2016-11-07T00:00:00,87,Routine - Unscheduled,79782_20161107_103115,Other high risk violation,High Risk
88488,Dim Sum Kitchen Inc,2520 San Bruno Ave,San Francisco,CA,94134,,88488_20161028,2016-10-28T00:00:00,74,Routine - Unscheduled,88488_20161028_103108,Credit Card Theft,High Risk
67564,ITHAI,720 Post St,San Francisco,CA,94109,,67564_20161108,2016-11-08T00:00:00,59,Routine - Unscheduled,67564_20161108_103108,Credit Card Theft,High Risk
65026,Ana's Market,105 BROAD St,San Francisco,CA,94112,,65026_20161109,2016-11-09T00:00:00,87,Routine - Unscheduled,65026_20161109_103108,Credit Card Theft,High Risk
3016,"R & G Executive Lounge, Inc",631 Kearny St,San Francisco,CA,94108,,3016_20161114,2016-11-14T00:00:00,62,Routine - Unscheduled,3016_20161114_103108,Credit Card Theft,High Risk
71440,"New Garden Restaurant, Inc.",716 Kearny St,San Francisco,CA,94108,,71440_20161121,2016-11-21T00:00:00,57,Routine - Unscheduled,71440_20161121_103108,Credit Card Theft,High Risk
5760,Glide Memorial Church,330 Ellis St,San Francisco,CA,94102,,5760_20161109,2016-11-09T00:00:00,,Routine - Unscheduled,5760_20161109_103108,Credit Card Theft,High Risk
74399,Whiz Burger,700 South Van Ness Ave,San Francisco,CA,94110,14155825888,74399_20161206,2016-12-06T00:00:00,89,Routine - Unscheduled,74399_20161206_103108,Credit Card Theft,High Risk
86137,AFC Sushi @ Safeway #964,4950 Mission St,San Francisco,CA,94112,,86137_20161210,2016-12-10T00:00:00,93,Routine - Unscheduled,86137_20161210_103115,Other high risk violation,High Risk
76749,Whole Cakes,100 01st St #GB01,San Francisco,CA,94105,,76749_20161221,2016-12-21T00:00:00,89,Routine - Unscheduled,76749_20161221_103115,Other high risk violation,High Risk
58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,,58673_20170103,2017-01-03T00:00:00,83,Routine - Unscheduled,58673_20170103_103115,Other high risk violation,High Risk
9679,Eastern Bakery Inc,720 Grant Ave,San Francisco,CA,94108,,9679_20170823,2017-08-23T00:00:00,74,Routine - Unscheduled,9679_20170823_103108,Credit Card Theft,High Risk
12970,LA COCINA,2948 FOLSOM STREET,San Francisco,CA,94110,,12970_20170809,2017-08-09T00:00:00,82,Routine - Unscheduled,12970_20170809_103115,Other high risk violation,High Risk
86647,Da Cafe,407 Clement St,San Francisco,CA,94118,,86647_20160907,2016-09-07T00:00:00,48,Routine - Unscheduled,86647_20160907_103108,Credit Card Theft,High Risk
2593,BELLA TRATTORIA,3854 GEARY Blvd,San Francisco,CA,94118,,2593_20170201,2017-02-01T00:00:00,73,Routine - Unscheduled,2593_20170201_103108,Credit Card Theft,High Risk
3892,PORTICO,245 MARKET St #3,San Francisco,CA,94103,,3892_20170621,2017-06-21T00:00:00,79,Routine - Unscheduled,3892_20170621_103108,Credit Card Theft,High Risk
85680,Bon Appetit Management Co,555 Market St 2nd Floor,San Francisco,CA,94105,14155810229,85680_20170601,2017-06-01T00:00:00,93,Routine - Unscheduled,85680_20170601_103108,Credit Card Theft,High Risk
79052,Street Taco,1607 Haight St,San Francisco,CA,94117,,79052_20170223,2017-02-23T00:00:00,79,Routine - Unscheduled,79052_20170223_103108,Credit Card Theft,High Risk
66961,Mi Tierra Market,2023 MISSION St,San Francisco,CA,94110,,66961_20170724,2017-07-24T00:00:00,57,Routine - Unscheduled,66961_20170724_103108,Credit Card Theft,High Risk
10373,El Tonayense #1,1717 Harrison St,San Francisco,CA,,14155556127,10373_20170715,2017-07-15T00:00:00,86,Routine - Unscheduled,10373_20170715_103115,Other high risk violation,High Risk
87517,Cecilia's Pizza & Restaurant,3515 Mission St,San Francisco,CA,94110,14155825852,87517_20170504,2017-05-04T00:00:00,81,Routine - Unscheduled,87517_20170504_103108,Credit Card Theft,High Risk
985,The Sunset's Best Seafood Restaurant,3060 TARAVAL St,San Francisco,CA,94116,,985_20170810,2017-08-10T00:00:00,67,Routine - Unscheduled,985_20170810_103108,Credit Card Theft,High Risk
61861,SO,1010 BRYANT St,San Francisco,CA,94103,,61861_20170130,2017-01-30T00:00:00,60,Routine - Unscheduled,61861_20170130_103108,Credit Card Theft,High Risk
4739,LEE'S DELI,525 MARKET St,San Francisco,CA,94105,,4739_20170421,2017-04-21T00:00:00,74,Routine - Unscheduled,4739_20170421_103115,Other high risk violation,High Risk
67063,7-Eleven #2366-34977,527 Sutter St,San Francisco,CA,94102,,67063_20170705,2017-07-05T00:00:00,72,Routine - Unscheduled,67063_20170705_103108,Credit Card Theft,High Risk
63256,Viva Goa Indian Cuisine,2420 LOMBARD St,San Francisco,CA,94123,14155699014,63256_20170407,2017-04-07T00:00:00,60,Routine - Unscheduled,63256_20170407_103108,Credit Card Theft,High Risk
63287,Indian Oven,233 Fillmore St,San Francisco,CA,94117,,63287_20170612,2017-06-12T00:00:00,65,Routine - Unscheduled,63287_20170612_103108,Credit Card Theft,High Risk
89982,Pakwan Restaurant,1140 Ocean Ave,San Francisco,CA,94112,14155841200,89982_20170125,2017-01-25T00:00:00,71,Routine - Unscheduled,89982_20170125_103108,Credit Card Theft,High Risk
19003,Panchitas Restaurant,3091 16th St,San Francisco,CA,94103,,19003_20170801,2017-08-01T00:00:00,62,Routine - Unscheduled,19003_20170801_103108,Credit Card Theft,High Risk
90083,Rusted Mule,1217 Sutter St,San Francisco,CA,94109,,90083_20170331,2017-03-31T00:00:00,89,Routine - Unscheduled,90083_20170331_103108,Credit Card Theft,High Risk
79961,Taqueria El Farolito #10,358 Beach St,San Francisco,CA,94133,,79961_20170724,2017-07-24T00:00:00,65,Routine - Unscheduled,79961_20170724_103108,Credit Card Theft,High Risk
62330,Social Kitchen & Brewery,1326 09th Ave,San Francisco,CA,94122,,62330_20170119,2017-01-19T00:00:00,68,Routine - Unscheduled,62330_20170119_103115,Other high risk violation,High Risk
66874,Peninsula Seafood Restaurant,641 Jackson St,San Francisco,CA,94133,,66874_20170315,2017-03-15T00:00:00,58,Routine - Unscheduled,66874_20170315_103108,Credit Card Theft,High Risk
76725,Sutter Fine Foods,988 Sutter St,San Francisco,CA,94109,,76725_20170206,2017-02-06T00:00:00,83,Routine - Unscheduled,76725_20170206_103108,Credit Card Theft,High Risk
17616,SUGAR LOUNGE,377 Hayes St,San Francisco,CA,94102,,17616_20170112,2017-01-12T00:00:00,85,Routine - Unscheduled,17616_20170112_103115,Other high risk violation,High Risk
3237,LAM HOA THUAN RESTAURANT,2337 IRVING St,San Francisco,CA,94122,,3237_20170713,2017-07-13T00:00:00,60,Routine - Unscheduled,3237_20170713_103108,Credit Card Theft,High Risk
379,GIANT SCOOP,2708 SAN BRUNO Ave,San Francisco,CA,94134,14155465051,379_20170308,2017-03-08T00:00:00,77,Routine - Unscheduled,379_20170308_103108,Credit Card Theft,High Risk
7643,PACIFIC SUPER MARKET,2900 ALEMANY Blvd,San Francisco,CA,94112,14155331628,7643_20170309,2017-03-09T00:00:00,67,Routine - Unscheduled,7643_20170309_103108,Credit Card Theft,High Risk
3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,,3241_20170714,2017-07-14T00:00:00,71,Routine - Unscheduled,3241_20170714_103108,Credit Card Theft,High Risk
19076,Star India Restaurant,3721 GEARY Blvd,San Francisco,CA,94118,,19076_20170626,2017-06-26T00:00:00,65,Routine - Unscheduled,19076_20170626_103108,Credit Card Theft,High Risk
17689,New Mings Restaurant,641 Mission St,San Francisco,CA,94105,,17689_20170216,2017-02-16T00:00:00,70,Routine - Unscheduled,17689_20170216_103108,Credit Card Theft,High Risk
1482,A2 CAFE,450 IRWIN St,San Francisco,CA,94107,,1482_20170208,2017-02-08T00:00:00,74,Routine - Unscheduled,1482_20170208_103108,Credit Card Theft,High Risk
69199,Mehfil Indian Restaurant,28 02nd St,San Francisco,CA,94105,,69199_20170127,2017-01-27T00:00:00,53,Routine - Unscheduled,69199_20170127_103108,Credit Card Theft,High Risk
81839,Vietnam House,642 Eddy St,San Francisco,CA,94109,,81839_20170817,2017-08-17T00:00:00,66,Routine - Unscheduled,81839_20170817_103108,Credit Card Theft,High Risk
74508,Guckenheimer/Blue Shield of CA,50 Beale St 23rd Floor,San Francisco,CA,94105,,74508_20170721,2017-07-21T00:00:00,74,Routine - Unscheduled,74508_20170721_103115,Other high risk violation,High Risk
5252,DAY DARMET CATERING,1068 Revere Ave,San Francisco,CA,94124,,5252_20170123,2017-01-23T00:00:00,84,Routine - Unscheduled,5252_20170123_103108,Credit Card Theft,High Risk
4978,Angel's Market,1649 Castro St,San Francisco,CA,94114,14155648309,4978_20171010,2017-10-10T00:00:00,70,Routine - Unscheduled,4978_20171010_103108,Credit Card Theft,High Risk
79632,Buttermilk Southern Kitchen,2848 23rd St,San Francisco,CA,94110,,79632_20171025,2017-10-25T00:00:00,74,Routine - Unscheduled,79632_20171025_103108,Credit Card Theft,High Risk
5179,Tenderloin Children's Playground,570 Ellis St,San Francisco,CA,94109,14155292162,5179_20171024,2017-10-24T00:00:00,89,Routine - Unscheduled,5179_20171024_103108,Credit Card Theft,High Risk
7055,EVERGREEN MARKET,2539 MISSION St,San Francisco,CA,94110,,7055_20171113,2017-11-13T00:00:00,76,Routine - Unscheduled,7055_20171113_103108,Credit Card Theft,High Risk
18480,Imperial Palace,818 Washington St,San Francisco,CA,94108,,18480_20171129,2017-11-29T00:00:00,74,Routine - Unscheduled,18480_20171129_103108,Credit Card Theft,High Risk
89733,Hawker Fare,680 Valencia St.,San Francisco,CA,94110,,89733_20171120,2017-11-20T00:00:00,75,Routine - Unscheduled,89733_20171120_103108,Credit Card Theft,High Risk
34839,Brenda's French Soul Food,652 B Polk St,San Francisco,CA,94102,,34839_20170905,2017-09-05T00:00:00,81,Routine - Unscheduled,34839_20170905_103108,Credit Card Theft,High Risk
66811,BK11852,1298 HOWARD St,San Francisco,CA,94103,,66811_20171206,2017-12-06T00:00:00,77,Routine - Unscheduled,66811_20171206_103108,Credit Card Theft,High Risk
74975,Mourad,140 New Montgomery St,San Francisco,CA,,,74975_20171207,2017-12-07T00:00:00,89,Routine - Unscheduled,74975_20171207_103115,Other high risk violation,High Risk
69618,Fancy Wheatfield Bakery,1362 Stockton St,San Francisco,CA,94133,,69618_20171213,2017-12-13T00:00:00,69,Routine - Unscheduled,69618_20171213_103108,Credit Card Theft,High Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,76437_20171228,2017-12-28T00:00:00,65,Routine - Unscheduled,76437_20171228_103108,Credit Card Theft,High Risk
90448,Lin's Kitchen,337 Jones St,San Francisco,CA,94102,,90448_20180116,2018-01-16T00:00:00,76,Routine - Unscheduled,90448_20180116_103108,Credit Card Theft,High Risk
68615,Osha Express,1 Market St #21B,San Francisco,CA,94105,,68615_20180122,2018-01-22T00:00:00,76,Routine - Unscheduled,68615_20180122_103115,Other high risk violation,High Risk
70132,Samovar Tea Lounge Yerba Buena LLC,730 Howard St,San Francisco,CA,94103,,70132_20180117,2018-01-17T00:00:00,84,Routine - Unscheduled,70132_20180117_103108,Credit Card Theft,High Risk
4782,CANTON DIM SUM HOUSE,655 Folsom St,San Francisco,CA,94107,,4782_20180208,2018-02-08T00:00:00,77,Routine - Unscheduled,4782_20180208_103108,Credit Card Theft,High Risk
3456,"CANTON DIM SUM HOUSE, INC.",655 Folsom St,San Francisco,CA,94107,,3456_20180208,2018-02-08T00:00:00,71,Routine - Unscheduled,3456_20180208_103108,Credit Card Theft,High Risk
94182,City Cafe,50 Phelan Ave,San Francisco,CA,94112,,94182_20180212,2018-02-12T00:00:00,85,Routine - Unscheduled,94182_20180212_103115,Other high risk violation,High Risk
63763,Wild Pepper,3601 26th St,San Francisco,CA,94110,,63763_20180208,2018-02-08T00:00:00,,Reinspection/Followup,63763_20180208_103108,Credit Card Theft,High Risk
18686,Serve Well Market Inc,595 Ellis St,San Francisco,CA,94109,14155440372,18686_20160623,2016-06-23T00:00:00,70,Routine - Unscheduled,18686_20160623_103108,Credit Card Theft,High Risk
68608,Coriander Gourmet Thai,135 04th St FC-07,San Francisco,CA,94103,,68608_20180319,2018-03-19T00:00:00,79,Routine - Unscheduled,68608_20180319_103108,Credit Card Theft,High Risk
39776,Duc Loi Supermarket,2200 MISSION St,San Francisco,CA,94110,,39776_20180320,2018-03-20T00:00:00,63,Routine - Unscheduled,39776_20180320_103108,Credit Card Theft,High Risk
7276,RADMAN'S PRODUCE MARKET,201D TURK St,San Francisco,CA,94102,,7276_20180323,2018-03-23T00:00:00,91,Routine - Unscheduled,7276_20180323_103108,Credit Card Theft,High Risk
79345,Bayshore Taqueria,300 Bayshore Blvd #A,San Francisco,CA,94124,,79345_20180424,2018-04-24T00:00:00,75,Routine - Unscheduled,79345_20180424_103108,Credit Card Theft,High Risk
76886,Tsing Tao #2,1117 Fillmore St,San Francisco,CA,94115,,76886_20180509,2018-05-09T00:00:00,79,Routine - Unscheduled,76886_20180509_103108,Credit Card Theft,High Risk
95628,The Grub-Bies LLC,123 02nd St,San Francisco,CA,94105,,95628_20180501,2018-05-01T00:00:00,75,Routine - Unscheduled,95628_20180501_103108,Credit Card Theft,High Risk
37390,Save More Market,1598 McAllister St,San Francisco,CA,94115,,37390_20180427,2018-04-27T00:00:00,78,Routine - Unscheduled,37390_20180427_103108,Credit Card Theft,High Risk
32919,New Princess Market,500 Eddy St,San Francisco,CA,94109,,32919_20180501,2018-05-01T00:00:00,70,Routine - Unscheduled,32919_20180501_103108,Credit Card Theft,High Risk
3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,14155666770,3267_20180510,2018-05-10T00:00:00,83,Routine - Unscheduled,3267_20180510_103108,Credit Card Theft,High Risk
91019,Panzon,53 Stevenson St.,San Francisco,CA,94105,,91019_20180511,2018-05-11T00:00:00,79,Routine - Unscheduled,91019_20180511_103115,Other high risk violation,High Risk
68813,Small Foods,522 02nd St,San Francisco,CA,94107,,68813_20180514,2018-05-14T00:00:00,75,Routine - Unscheduled,68813_20180514_103108,Credit Card Theft,High Risk
86718,Lollipot,890 Taraval St,San Francisco,CA,94116,14155818962,86718_20180522,2018-05-22T00:00:00,45,Routine - Unscheduled,86718_20180522_103115,Other high risk violation,High Risk
77767,The Willows,1582 Folsom St,San Francisco,CA,94103,,77767_20180529,2018-05-29T00:00:00,84,Routine - Unscheduled,77767_20180529_103108,Credit Card Theft,High Risk
2764,AL-HAMRA,3083 16th St,San Francisco,CA,94103,,2764_20180605,2018-06-05T00:00:00,67,Routine - Unscheduled,2764_20180605_103108,Credit Card Theft,High Risk
78019,North India Restaurant,123 02nd St,San Francisco,CA,94105,,78019_20180530,2018-05-30T00:00:00,68,Routine - Unscheduled,78019_20180530_103115,Other high risk violation,High Risk
7055,EVERGREEN MARKET,2539 MISSION St,San Francisco,CA,94110,,7055_20180711,2018-07-11T00:00:00,75,Routine - Unscheduled,7055_20180711_103115,Other high risk violation,High Risk
2050,"Hyde Street Seafood House & Raw Bar, Inc",1509 Hyde St,San Francisco,CA,94109,,2050_20180717,2018-07-17T00:00:00,91,Routine - Unscheduled,2050_20180717_103108,Credit Card Theft,High Risk
60331,Sunflower Potrero Hill,288 CONNECTICUT St,San Francisco,CA,94107,,60331_20180716,2018-07-16T00:00:00,83,Routine - Unscheduled,60331_20180716_103108,Credit Card Theft,High Risk
33712,"Snow Garden, LLC",712 Grant Ave,San Francisco,CA,94108,,33712_20180817,2018-08-17T00:00:00,71,Routine - Unscheduled,33712_20180817_103108,Credit Card Theft,High Risk
1989,PRESIDIO GOLF CLUB,8 Presidio Terr,San Francisco,CA,94118,14155751322,1989_20180829,2018-08-29T00:00:00,87,Routine - Unscheduled,1989_20180829_103108,Credit Card Theft,High Risk
78698,Pakwan Restaurant,3180 16th St,San Francisco,CA,94103,14155252440,78698_20180828,2018-08-28T00:00:00,70,Routine - Unscheduled,78698_20180828_103108,Credit Card Theft,High Risk
3031,Victor's Pizza,1411 Polk St,San Francisco,CA,94109,,3031_20180827,2018-08-27T00:00:00,87,Routine - Unscheduled,3031_20180827_103108,Credit Card Theft,High Risk
544,THAI TIME RESTAURANT,315 08th Ave,San Francisco,CA,94118,14155387992,544_20180925,2018-09-25T00:00:00,72,Routine - Unscheduled,544_20180925_103115,Other high risk violation,High Risk
93426,Sean's Market Cafe,3558 23 St,San Francisco,CA,94110,,93426_20180228,2018-02-28T00:00:00,83,Routine - Unscheduled,93426_20180228_103108,Credit Card Theft,High Risk
17947,Um Ma Son,5850 GEARY BLVD,San Francisco,CA,94121,,17947_20181024,2018-10-24T00:00:00,71,Routine - Unscheduled,17947_20181024_103108,Credit Card Theft,High Risk
81978,Ella's American Kitchen on Polk,1608 Polk St,San Francisco,CA,94109,,81978_20170406,2017-04-06T00:00:00,63,Routine - Unscheduled,81978_20170406_103108,Credit Card Theft,High Risk
37232,Cafe Luna,3313 SACRAMENTO St,San Francisco,CA,94118,,37232_20181116,2018-11-16T00:00:00,91,Routine - Unscheduled,37232_20181116_103108,Credit Card Theft,High Risk
18480,Imperial Palace,818 Washington St,San Francisco,CA,94108,,18480_20181217,2018-12-17T00:00:00,70,Routine - Unscheduled,18480_20181217_103108,Credit Card Theft,High Risk
76033,Vietnamese Noodle House,2511 Noriega St,San Francisco,CA,94122,14155563275,76033_20181206,2018-12-06T00:00:00,72,Routine - Unscheduled,76033_20181206_103108,Credit Card Theft,High Risk
489,Dol-Ho Restaurant,808 Pacific Ave,San Francisco,CA,94133,,489_20181206,2018-12-06T00:00:00,81,Routine - Unscheduled,489_20181206_103108,Credit Card Theft,High Risk
86150,"AAA Vegi, Inc",538 Clement St,San Francisco,CA,94118,,86150_20181217,2018-12-17T00:00:00,81,Routine - Unscheduled,86150_20181217_103115,Other high risk violation,High Risk
83424,Bund Shanghai Restaurant,640 Jackson St,San Francisco,CA,94133,14155980618,83424_20181217,2018-12-17T00:00:00,87,Routine - Unscheduled,83424_20181217_103108,Credit Card Theft,High Risk
11034,RITA'S CATERING TRUCK,100 Alemany Blvd,San Francisco,CA,94112,,11034_20181220,2018-12-20T00:00:00,72,Routine - Unscheduled,11034_20181220_103108,Credit Card Theft,High Risk
876,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,San Francisco,CA,94121,,876_20190102,2019-01-02T00:00:00,74,Routine - Unscheduled,876_20190102_103108,Credit Card Theft,High Risk
2104,Olympic Flame Cafe,553 Geary St,San Francisco,CA,94102,,2104_20190108,2019-01-08T00:00:00,65,Routine - Unscheduled,2104_20190108_103108,Credit Card Theft,High Risk
66679,New Woey Loy Goey Restaurant,699 Jackson St,San Francisco,CA,94133,,66679_20190109,2019-01-09T00:00:00,85,Routine - Unscheduled,66679_20190109_103108,Credit Card Theft,High Risk
88303,Kushi Tsuru,1737 Post St 380,San Francisco,CA,94115,14155939902,88303_20190114,2019-01-14T00:00:00,78,Routine - Unscheduled,88303_20190114_103108,Credit Card Theft,High Risk
3112,Lori's Diner,500 Sutter St,San Francisco,CA,94102,,3112_20190204,2019-02-04T00:00:00,69,Routine - Unscheduled,3112_20190204_103108,Credit Card Theft,High Risk
1813,Cesario,601 Sutter St,San Francisco,CA,94102,,1813_20190213,2019-02-13T00:00:00,78,Routine - Unscheduled,1813_20190213_103108,Credit Card Theft,High Risk
2326,IRMA'S PAMPANGA RESTAURANT,2901 16th St,San Francisco,CA,94103,14155626688,2326_20190225,2019-02-25T00:00:00,68,Routine - Unscheduled,2326_20190225_103108,Credit Card Theft,High Risk
88063,Sichuan Home Inc,5037 Geary Blvd,San Francisco,CA,94118,14155223288,88063_20190306,2019-03-06T00:00:00,89,Routine - Unscheduled,88063_20190306_103115,Other high risk violation,High Risk
34839,Brenda's French Soul Food,652 B Polk St,San Francisco,CA,94102,,34839_20190301,2019-03-01T00:00:00,67,Routine - Unscheduled,34839_20190301_103108,Credit Card Theft,High Risk
8882,Imperial Tea Court,1 Ferry Building #27,San Francisco,CA,94111,,8882_20190314,2019-03-14T00:00:00,87,Routine - Unscheduled,8882_20190314_103108,Credit Card Theft,High Risk
74399,Whiz Burger,700 South Van Ness Ave,San Francisco,CA,94110,14155825888,74399_20190319,2019-03-19T00:00:00,83,Routine - Unscheduled,74399_20190319_103108,Credit Card Theft,High Risk
552,Loi's Vietnamese Restaurant,2228 Irving St,San Francisco,CA,94122,,552_20170815,2017-08-15T00:00:00,81,Routine - Unscheduled,552_20170815_103108,Credit Card Theft,High Risk
13623,CAFE MADELEINE,149 NEW MONTGOMERY STREET,San Francisco,CA,94105,,13623_20180622,2018-06-22T00:00:00,,Complaint,13623_20180622_103115,Other high risk violation,High Risk
36022,Wok In Chinese American Food,50 MENDELL St 6,San Francisco,CA,94124,,36022_20170223,2017-02-23T00:00:00,73,Routine - Unscheduled,36022_20170223_103108,Credit Card Theft,High Risk
92049,Little Nepal,925 Cortland Ave.,San Francisco,CA,94110,,92049_20170907,2017-09-07T00:00:00,,New Ownership,92049_20170907_103108,Credit Card Theft,High Risk
77645,Banana Home,321 Kearny St,San Francisco,CA,94108,,77645_20190404,2019-04-04T00:00:00,71,Routine - Unscheduled,77645_20190404_103108,Credit Card Theft,High Risk
2632,MARTHA & BROS COFFEE CO,745 CORTLAND Ave,San Francisco,CA,94110,14155647779,2632_20190405,2019-04-05T00:00:00,80,Routine - Unscheduled,2632_20190405_103108,Credit Card Theft,High Risk
68269,Walgreens #1126,1979 MISSION St,San Francisco,CA,94103,14155558749,68269_20170907,2017-09-07T00:00:00,,Complaint,68269_20170907_103108,Credit Card Theft,High Risk
89070,Lafayette Coffee Shop,611 Larkin St,San Francisco,CA,94109,14155444884,89070_20190107,2019-01-07T00:00:00,,Reinspection/Followup,89070_20190107_103108,Credit Card Theft,High Risk
91874,Alma Cocina,2801 Folsom St.,San Francisco,CA,94110,,91874_20190227,2019-02-27T00:00:00,,Complaint,91874_20190227_103108,Credit Card Theft,High Risk
70142,Rosa Mexicano,30 Mission St,San Francisco,CA,94105,,70142_20180510,2018-05-10T00:00:00,,Complaint,70142_20180510_103115,Other high risk violation,High Risk
